"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","105","Backend health check returns ok","","2026-02-28","passed","2026-02-28","","","",""
"","533","Get passengers for a valid flight number","","2026-02-28","passed","2026-02-28","","","",""
"","567","Delete an existing flight order","","2026-02-28","failed","2026-02-28","","","",""
"","90","Retrieve a non-existent flight order returns 404","","2026-02-28","passed","2026-02-28","","","",""
"","2082","User searches, books, retrieves and cancels a flight","","2026-02-28","failed","2026-02-28","","","",""
"","3852","Create a flight order returns 201 with an orderId","","2026-02-28","passed","2026-02-28","","","",""
"","707","Chat returns a response for a valid message","","2026-02-28","passed","2026-02-28","","","",""
"","261","Get passengers for unknown flight returns 404","","2026-02-28","passed","2026-02-28","","","",""
"","99","Retrieve an existing flight order","","2026-02-28","failed","2026-02-28","","","",""
"","63","Chat returns 400 for an empty message","","2026-02-28","passed","2026-02-28","","","",""
