"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Retrieve a non-existent flight order returns 404","","2026-02-28","passed","2026-02-28","","","",""
"","2173","User searches, books, retrieves and cancels a flight","","2026-02-28","failed","2026-02-28","","","",""
"","1908","Chat returns a response for a valid message","","2026-02-28","passed","2026-02-28","","","",""
"","251","Get passengers for unknown flight returns 404","","2026-02-28","passed","2026-02-28","","","",""
"","354","Delete an existing flight order","","2026-02-28","failed","2026-02-28","","","",""
"","519","Get passengers for a valid flight number","","2026-02-28","passed","2026-02-28","","","",""
"","51","Chat returns 400 for an empty message","","2026-02-28","passed","2026-02-28","","","",""
"","4747","Create a flight order returns 201 with an orderId","","2026-02-28","passed","2026-02-28","","","",""
"","58","Backend health check returns ok","","2026-02-28","passed","2026-02-28","","","",""
"","55","Retrieve an existing flight order","","2026-02-28","failed","2026-02-28","","","",""
